project,model,avg_bleu4,avg_rougeL,avg_meteor,corpus_bleu4,corpus_rougeL,corpus_meteor
aflplusplus,qwen2.5_7b-instruct,0.020550277887158443,0.22733946273884353,0.09638299637655544,0.09254905614065877,0.31461793329060384,0.18366146692831573
airgap-it,qwen2.5_7b-instruct,0.009927683211348395,0.12701461897890468,0.07639104288720189,0.05638925914866637,0.1789332771745863,0.1283097010828835
amundsen-io,qwen2.5_7b-instruct,0.0,0.0,0.0,0.0,0.0,0.0
asciidoctor,qwen2.5_7b-instruct,0.0,0.0,0.0,0.0,0.0,0.0
btclib-org,qwen2.5_7b-instruct,0.009673688206821416,0.19058256902511247,0.07582357707533983,0.07634282729302598,0.26343770296113156,0.14867871101135893
datadog,qwen2.5_7b-instruct,0.0,0.0,0.0,0.0,0.0,0.0
easyrpg,qwen2.5_7b-instruct,0.042794788188766315,0.4879366275087076,0.23556402685885053,0.0815599156049425,0.5307841717536239,0.2784115711037669
gardenlinux,qwen2.5_7b-instruct,0.028710416860838323,0.24445418798642138,0.10983702520225853,0.08054973558909495,0.30245578981471255,0.1678386270305497
gonum,qwen2.5_7b-instruct,0.026404279750935594,0.24972286239438127,0.13940662388290032,0.08850422081470452,0.3020056908161374,0.1916894523046564
jupyterhub,qwen2.5_7b-instruct,0.0044385912170274815,0.14582471169382105,0.05518926497963182,0.06393727990434471,0.20715061683550456,0.11651517012131535
keras-team,qwen2.5_7b-instruct,0.1585883808057295,0.5340746282057259,0.3810979492647225,0.23267878911053735,0.5970480827957099,0.4440714038547065
llnl,qwen2.5_7b-instruct,0.04570369640585959,0.21691645578200203,0.12020821506167267,0.10730204778019597,0.3125645480209367,0.21585630730060734
marblejs,qwen2.5_7b-instruct,0.003540898453458226,0.08309069835758504,0.03991148386866144,0.030330765140957238,0.1107250177527698,0.0675458032638462
maticnetwork,qwen2.5_7b-instruct,0.01135396291184808,0.27012618397645133,0.11833313585391418,0.07375620755116205,0.3414791283228175,0.18968608020028035
mortbopet,qwen2.5_7b-instruct,0.02221813739011205,0.1900419889767703,0.08239332243172397,0.08151640447681022,0.2637981082565103,0.15614944171146394
oai,qwen2.5_7b-instruct,0.007716040416603026,0.11909733181810557,0.07326736347432393,0.03406813194649512,0.14921688298347588,0.10338691463969424
onnx,qwen2.5_7b-instruct,0.0926313172797929,0.5783353498216552,0.3180290882522027,0.11323123980608527,0.6490616529197923,0.3887553913503399
open-telemetry,qwen2.5_7b-instruct,0.0027922710800700515,0.09636958333224996,0.022418121558131374,0.033295071352727704,0.12816909357298997,0.05421763179887138
pangeo-forge,qwen2.5_7b-instruct,0.02041683344202085,0.27314536340852125,0.14264433261221543,0.09367860308183105,0.3495915540755643,0.2190905232792585
range-of-motion,qwen2.5_7b-instruct,0.0,0.0,0.0,0.0,0.0,0.0
riga,qwen2.5_7b-instruct,0.006893657976855242,0.08503118489025072,0.031048773789703964,0.04187310446044574,0.12542879762047898,0.07144638651993224
rocmsoftwareplatform,qwen2.5_7b-instruct,0.014821782912661669,0.22874311743063966,0.12508244134187288,0.07158729614285687,0.2893732939283043,0.18571261783953752
sosy-lab,qwen2.5_7b-instruct,0.02517982435607821,0.2327178222318001,0.146732302006731,0.12058309572734915,0.30936114890188443,0.22337562867681532
sschmid,qwen2.5_7b-instruct,0.006663256558260723,0.09160674258074147,0.03195162225501084,0.05032947431150749,0.1397735175134366,0.08011839718770598
zksnacks,qwen2.5_7b-instruct,0.10479006313561205,0.473999174009494,0.30124915131646046,0.1533968588177922,0.5337885779727117,0.3610385552796782
